datetime,ticker,price
2026-03-12 09:30:32.698047,7011.T,4781.0
2026-03-12 09:30:32.698047,8035.T,39750.0
2026-03-12 11:23:38.985503,4568.T,2900.0
2026-03-12 11:23:38.985503,7011.T,4781.0
2026-03-12 11:23:38.985503,8035.T,39750.0
2026-03-12 14:35:45.137398,4568.T,2900.0
2026-03-12 14:35:45.137398,7011.T,4781.0
2026-03-12 14:35:45.137398,8035.T,39750.0
2026-03-12 17:37:14.880212,4568.T,2900.0
2026-03-12 17:37:14.880212,7011.T,4781.0
2026-03-12 17:37:14.880212,8035.T,39750.0
2026-03-12 19:54:45.359989,4568.T,2900.0
2026-03-12 19:54:45.359989,7011.T,4781.0
2026-03-12 19:54:45.359989,8035.T,39750.0
2026-03-12 21:51:48.062795,4568.T,2900.0
2026-03-12 21:51:48.062795,7011.T,4781.0
2026-03-12 21:51:48.062795,8035.T,39750.0
2026-03-12 23:01:14.095148,4568.T,2900.0
2026-03-12 23:01:14.095148,7011.T,4781.0
2026-03-12 23:01:14.095148,8035.T,39750.0
2026-03-12 23:58:35.284104,4568.T,2900.0
2026-03-12 23:58:35.284104,7011.T,4781.0
2026-03-12 23:58:35.284104,8035.T,39750.0
2026-03-13 05:06:50.391850,4568.T,2817.5
2026-03-13 05:06:50.391850,7011.T,4750.0
2026-03-13 05:06:50.391850,8035.T,38410.0
2026-03-13 07:52:29.149829,4568.T,2818.5
2026-03-13 07:52:29.149829,7011.T,4745.0
2026-03-13 07:52:29.149829,8035.T,38340.0
2026-03-13 10:05:04.846263,4568.T,2818.5
2026-03-13 10:05:04.846263,7011.T,4745.0
2026-03-13 10:05:04.846263,8035.T,38340.0
2026-03-13 11:47:44.434351,4568.T,2818.5
2026-03-13 11:47:44.434351,7011.T,4745.0
2026-03-13 11:47:44.434351,8035.T,38340.0
2026-03-13 14:33:11.245212,4568.T,2818.5
2026-03-13 14:33:11.245212,7011.T,4745.0
2026-03-13 14:33:11.245212,8035.T,38340.0
2026-03-13 16:23:10.902875,4568.T,2818.5
2026-03-13 16:23:10.902875,7011.T,4745.0
2026-03-13 16:23:10.902875,8035.T,38340.0
2026-03-13 18:03:43.905714,4568.T,2818.5
2026-03-13 18:03:43.905714,7011.T,4745.0
2026-03-13 18:03:43.905714,8035.T,38340.0
2026-03-13 19:50:35.881403,4568.T,2818.5
2026-03-13 19:50:35.881403,7011.T,4745.0
2026-03-13 19:50:35.881403,8035.T,38340.0
2026-03-13 21:51:52.706027,4568.T,2818.5
2026-03-13 21:51:52.706027,7011.T,4745.0
2026-03-13 21:51:52.706027,8035.T,38340.0
2026-03-13 23:01:22.139290,4568.T,2818.5
2026-03-13 23:01:22.139290,7011.T,4745.0
2026-03-13 23:01:22.139290,8035.T,38340.0
2026-03-14 00:00:27.211333,4568.T,2818.5
2026-03-14 00:00:27.211333,7011.T,4745.0
2026-03-14 00:00:27.211333,8035.T,38340.0
2026-03-14 05:04:02.359835,4568.T,2818.5
2026-03-14 05:04:02.359835,7011.T,4745.0
2026-03-14 05:04:02.359835,8035.T,38340.0
2026-03-14 07:25:48.513459,4568.T,2818.5
2026-03-14 07:25:48.513459,7011.T,4745.0
2026-03-14 07:25:48.513459,8035.T,38340.0
2026-03-14 09:03:22.671653,4568.T,2818.5
2026-03-14 09:03:22.671653,7011.T,4745.0
2026-03-14 09:03:22.671653,8035.T,38340.0
2026-03-14 10:01:10.534444,4568.T,2818.5
2026-03-14 10:01:10.534444,7011.T,4745.0
2026-03-14 10:01:10.534444,8035.T,38340.0
2026-03-14 11:01:22.158785,4568.T,2818.5
2026-03-14 11:01:22.158785,7011.T,4745.0
2026-03-14 11:01:22.158785,8035.T,38340.0
2026-03-14 11:56:13.612478,4568.T,2818.5
2026-03-14 11:56:13.612478,7011.T,4745.0
2026-03-14 11:56:13.612478,8035.T,38340.0
2026-03-14 13:59:55.819502,4568.T,2818.5
2026-03-14 13:59:55.819502,7011.T,4745.0
2026-03-14 13:59:55.819502,8035.T,38340.0
2026-03-14 15:01:59.842268,4568.T,2818.5
2026-03-14 15:01:59.842268,7011.T,4745.0
2026-03-14 15:01:59.842268,8035.T,38340.0
2026-03-14 15:57:08.222564,4568.T,2818.5
2026-03-14 15:57:08.222564,7011.T,4745.0
2026-03-14 15:57:08.222564,8035.T,38340.0
2026-03-14 17:04:09.614960,4568.T,2818.5
2026-03-14 17:04:09.614960,7011.T,4745.0
2026-03-14 17:04:09.614960,8035.T,38340.0
2026-03-14 17:58:23.895213,4568.T,2818.5
